ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,0.2874999999999999,1.27481245,35.852,2232095.476190476,1637401890.453125,1.0
9.0,-0.3095625000000004,1.25912085,35.79,2276004.992,1637401895.453125,1.0
9.0,0.35828125,1.26328395,35.77,2305253.656,1637401900.453125,1.0
9.0,0.1083749999999999,1.2453507,35.74399999999999,2323594.104,1637401905.453125,1.0
9.0,0.0194374999999999,1.2267771,35.707,2299088.224,1637401910.453125,1.0
9.0,0.4385,1.2163373,35.666999999999994,2209599.62992126,1637401915.453125,1.0
9.0,-0.3725,1.20877955,35.64,2239739.111111111,1637401920.453125,1.0
9.0,1.001,1.205065,35.58800000000001,2276498.0634920634,1637401925.453125,1.0
9.0,-0.8404062499999995,1.2165934,35.565999999999995,2297732.9677419355,1637401930.453125,1.0
9.0,-0.5331875,1.2402269499999998,35.5385,2251328.6746031744,1637401935.453125,1.0
9.0,1.414,1.2381772999999998,35.5035,2279816.8253968256,1637401940.453125,1.0
9.0,-0.7850624999999999,1.23702455,35.476000000000006,2151719.46875,1637401945.453125,1.0
9.0,0.5001250000000003,1.22959505,35.442,2083008.744,1637401950.453125,1.0
9.0,-0.5331250000000002,1.22376685,35.424,2035633.28,1637401955.453125,1.0
9.0,-1.1914375,1.2164654,35.3905,1977338.603174603,1637401960.453125,1.0
9.0,1.2071875000000003,1.2283782,35.343500000000006,2125107.9032258065,1637401965.453125,1.0
9.0,-0.4578749999999998,1.22101285,35.31699999999999,2153612.634920635,1637401970.453125,1.0
9.0,0.5997187499999999,1.2117898,35.292,2074639.664,1637401975.453125,1.0
9.0,1.1179374999999998,1.2112135,35.248000000000005,2074060.0546875,1637401980.453125,1.0
9.0,-1.1074374999999996,1.2145439,35.238,2143542.1825396824,1637401985.453125,1.0
9.0,1.74609375,1.21428765,35.190999999999995,2039235.72,1637401990.453125,1.0
9.0,0.1400312500000002,1.21057285,35.173,2051787.608,1637401995.453125,1.0
9.0,-3.6019062500000003,1.21191785,35.137,2078659.738095238,1637402000.453125,1.0
9.0,-0.35821875,1.2117257,35.112,2108093.248,1637402005.453125,1.0
9.0,2.24096875,1.2178745,35.088,2107323.728,1637402010.453125,1.0
9.0,0.6908750000000005,1.2287625,35.062,2141533.4603174604,1637402015.453125,1.0
9.0,0.9083125000000004,1.2311961,35.041,2151960.865079365,1637402020.453125,1.0
9.0,-3.3875625000000005,1.23119615,35.0045,2148728.57936508,1637402025.453125,1.0
9.0,1.301125,1.23183655,34.984500000000004,2101262.724409449,1637402030.453125,1.0
9.0,3.2453124999999994,1.23631995,34.956,2110453.376,1637402035.453125,1.0
9.0,-5.39778125,1.24041905,34.925,2138002.704,1637402040.453125,1.0
9.0,3.04334375,1.23612775,34.909,2039343.007936508,1637402045.453125,1.0
9.0,1.4536875000000002,1.24003475,34.882,2056797.746031746,1637402050.453125,1.0
9.0,-4.76659375,1.25604655,34.8655,2160699.52,1637402055.453125,1.0
9.0,2.60375,1.26110625,34.8335,2184858.619047619,1637402060.453125,1.0
9.0,0.0122499999999998,1.2660381,34.817,2201109.6640625,1637402065.453125,1.0
9.0,-0.3095937499999998,1.2669348,34.797000000000004,2181536.44,1637402070.453125,1.0
9.0,-0.8267187499999998,1.27193045,34.768,2149934.214285714,1637402075.453125,1.0
9.0,2.8800937499999995,1.27801465,34.745999999999995,2174596.3412698414,1637402080.453125,1.0
9.0,-2.440125,1.2917850999999998,34.736000000000004,2139518.776,1637402085.453125,1.0
9.0,1.2120937499999995,1.2896075,34.7085,2085770.952,1637402090.453125,1.0
9.0,-1.4898125,1.2870455,34.67999999999999,2146555.75,1637402095.453125,1.0
9.0,-0.36578125,1.29268185,34.660999999999994,2139006.419354839,1637402100.453125,1.0
9.0,1.394125,1.2987661,34.6465,2149534.344,1637402105.453125,1.0
9.0,0.01040625,1.3048504,34.634,2172039.744,1637402110.453125,1.0
9.0,-1.90059375,1.30536285,34.616,2162427.692913386,1637402115.453125,1.0
9.0,1.9183125,1.32188715,34.598,2002182.456,1637402120.453125,1.0
9.0,-2.2936875,1.34231825,34.589,2053756.8412698407,1637402125.453125,1.0
9.0,1.4621874999999998,1.34923515,34.561,2154284.808,1637402130.453125,1.0
9.0,0.663875,1.3554479,34.5475,2185262.095238095,1637402135.453125,1.0
9.0,-0.3043124999999998,1.36518335,34.51950000000001,2033393.6825396824,1637402140.453125,1.0
9.0,-1.7788749999999998,1.36678435,34.496,2019475.6587301588,1637402145.453125,1.0
9.0,2.173375,1.36441485,34.491,2118722.603174603,1637402150.453125,1.0
9.0,-1.5597812500000003,1.37037095,34.462,2069594.608,1637402155.453125,1.0
9.0,2.7001562500000005,1.3761350499999998,34.456,2176352.2421875,1637402160.453125,1.0
9.0,-3.35446875,1.39028965,34.438,2173151.152,1637402165.453125,1.0
9.0,0.3410000000000002,1.3966941,34.416,2209926.6129032257,1637402170.453125,1.0
0.0,-0.6484062499999996,0.52381095,34.926,2145873.388888889,1767084372.671875,1.0
